pl_name,hostname,pl_orbper,pl_bmasse,pl_rade,st_teff,st_mass,st_rad,disc_year,disc_facility,sy_dist,ra,dec,pl_eqt,pl_dens
Kepler-1012 b,Kepler-1012,5.50860439,,1.29,5556.0,0.95,0.91,2016,Kepler,411.077,289.2962253,46.4579889,,
Kepler-878 b,Kepler-878,25.9422033,,1.93,5044.0,0.81,0.77,2016,Kepler,791.625,285.2962562,46.6034497,,
GJ 486 b,GJ 486,1.46712127,2.77,1.289,3317.0,0.312,0.3243,2021,Calar Alto Observatory,8.07426,191.981531,9.7494181,696.3,6.66
Kepler-1254 b,Kepler-1254,9.99113313,,1.55,4985.0,0.78,0.75,2016,Kepler,622.818,285.1733174,48.7700099,,
Kepler-92 c,Kepler-92,26.723,6.1,2.6,,1.21,1.7,2013,Kepler,477.992,289.0860607,41.5630224,,
Kepler-1938 b,Kepler-1938,13.06260014,,1.82828927,4522.0,0.646,0.655,2021,Kepler,421.152,299.351892,41.1957285,,
Kepler-126 c,Kepler-126,21.869741,,1.58,6239.0,,1.358,2014,Kepler,237.401,289.3473634,44.2084445,,
EPIC 211822797 b,EPIC 211822797,21.1701963,,1.92,4057.0,0.62,0.58,2016,K2,186.197,130.4102091,17.6399744,431.0,
IRAS 04125+2902 b,IRAS 04125+2902,8.834978,,10.73820351,4080.0,0.7,1.45,2024,Transiting Exoplanet Survey Satellite (TESS),159.244,63.9283394,29.166542,854.0,
Kepler-1248 b,Kepler-1248,7.46725407,,1.18,6149.0,1.21,1.21,2016,Kepler,593.026,288.0592191,51.3544564,,
Kepler-772 b,Kepler-772,12.99207337,,1.82,5714.0,0.98,1.11,2016,Kepler,1130.21,291.423582,38.2165603,,
Kepler-383 b,Kepler-383,12.904532,,1.32,4710.0,,0.672,2014,Kepler,,291.3426078,38.3631616,,
Kepler-1310 b,Kepler-1310,0.679336272,,1.44,5549.0,0.91,0.88,2016,Kepler,569.185,283.9200236,40.7400419,,
Kepler-1937 b,Kepler-1937,9.688599586,,3.0229133,6457.0,1.19,1.196,2021,Kepler,905.069,290.6583922,40.7785383,,
Kepler-1309 b,Kepler-1309,28.8432647,,2.37,5235.0,0.85,0.8,2016,Kepler,,298.7351131,40.7641262,,
Kepler-250 c,Kepler-250,7.156804,,2.28,5160.0,,0.805,2014,Kepler,760.585,289.5947633,44.1418114,,
Kepler-1116 b,Kepler-1116,41.6977827,,2.54,5641.0,0.95,0.93,2016,Kepler,1008.57,291.9336573,44.1154992,,
Kepler-251 d,Kepler-251,30.133001,,2.77,5526.0,,0.89,2014,Kepler,924.625,296.5662171,44.1058077,,
Kepler-251 e,Kepler-251,99.640161,,2.77,5526.0,,0.89,2014,Kepler,924.625,296.5662171,44.1058077,,
Kepler-1118 b,Kepler-1118,38.6715075,,2.74,5688.0,0.96,0.97,2016,Kepler,888.325,299.9656619,44.1608805,,
Kepler-1136 b,Kepler-1136,2.361724329,,1.64,4512.0,0.72,0.68,2016,Kepler,491.406,284.1078441,44.2458047,,
Kepler-1683 b,Kepler-1683,15.0337,,1.87477762,5429.0,0.95,0.900327,2020,Kepler,733.143,298.4501035,44.2840193,,
Kepler-837 b,Kepler-837,16.56059504,,2.56,5403.0,0.85,0.81,2016,Kepler,901.907,285.2467607,45.95011,,
Kepler-255 b,Kepler-255,5.714606,,1.55,5573.0,,0.933,2014,Kepler,1052.53,296.0642702,45.9767647,,
HD 63433 b,HD 63433,7.1079384,37.3,2.16351593,5634.0,0.9883,0.9169,2020,Transiting Exoplanet Survey Satellite (TESS),22.4035,117.4793699,27.3631342,886.44,20.15
TOI-6255 b,TOI-6255,0.23818244,1.44,1.079,3421.0,0.353,0.37,2024,Transiting Exoplanet Survey Satellite (TESS),20.3167,331.5031606,39.2988284,,
K2-416 b,K2-416,13.102,1652.7077164,2.66,3746.0,0.548,0.554,2023,K2,120.311,349.2211822,-5.2015032,447.0,
TIC 365102760 b,TIC 365102760,4.21285367,19.2,6.21,4900.0,1.17,3.13,2024,Transiting Exoplanet Survey Satellite (TESS),555.546,305.8398236,54.3943194,,0.437
TIC 241249530 b,TIC 241249530,165.7719,1582.78546686,13.29385111,6166.0,1.271,1.397,2024,Transiting Exoplanet Survey Satellite (TESS),324.448,95.3088995,53.2950203,,
ZTF J1230-2655 b,ZTF J1230-2655,0.23597766,7024.0077947,13.78704626,10000.0,0.646,0.0123,2025,Zwicky Transient Facility,186.69,187.5689308,-26.9309608,,
TIC 434398831 b,TIC 434398831,3.685504,,3.51,5638.0,0.992,0.909,2025,Transiting Exoplanet Survey Satellite (TESS),217.011,93.9592639,16.0238459,1250.0,
Kepler-296 e,Kepler-296,34.14211,,1.53,3740.0,0.498,0.48,2014,Kepler,,286.5400278,49.4372614,,
K2-396 b,K2-396,0.673862,,1.579,5236.0,0.954,0.92,2022,K2,274.864,74.6928607,17.2690562,,
