pl_name,hostname,pl_orbper,pl_bmasse,pl_rade,st_teff,st_mass,st_rad,disc_year,disc_facility,sy_dist,ra,dec,pl_eqt,pl_dens
Kepler-61 b,Kepler-61,59.87756,,2.15,4017.0,0.635,0.62,2013,Kepler,335.079,295.3044942,42.4753193,273.0,
Kepler-751 b,Kepler-751,17.44490636,,2.46,5387.0,0.87,0.84,2016,Kepler,760.43,294.8438103,44.0776872,,
Kepler-1745 b,Kepler-1745,3.016190052,,1.92872921,5611.0,0.995,1.4,2021,Kepler,996.105,293.4689924,42.8223582,,
KOI-2513.01,KOI-2513,19.00547,7310.053361,2.80224517,5900.0,0.91,1.2,2023,Kepler,1369.87,293.6688776,46.3792321,,2000.0
Kepler-175 c,Kepler-175,34.035257,,3.1,6064.0,,1.01,2014,Kepler,1312.34,289.553232,43.876116,,
Qatar-10 b,Qatar-10,1.645321,233.92288,17.295487,6124.0,1.156,1.254,2019,Qatar,559.068,284.4439052,69.5708373,1955.0,0.248
Kepler-196 d,Kepler-196,122.0800018,,2.66065673,5132.0,0.805,0.77,2021,Kepler,451.312,284.9685077,42.0791214,,
K2-381 c,K2-381,16.034656,,2.0,4473.0,0.754,0.675,2022,K2,145.701,288.0267612,-21.0075789,,
Kepler-400 b,Kepler-400,9.024389,,1.65,5886.0,,1.145,2014,Kepler,845.97,290.9444679,40.4800528,,
Kepler-1087 b,Kepler-1087,0.693842855,,0.61,5589.0,0.96,0.94,2016,Kepler,362.623,294.9789253,46.0056741,,
Kepler-1836 b,Kepler-1836,5.254169941,,2.55303229,6123.0,1.053,0.987,2021,Kepler,1472.62,292.3150933,40.8387799,,
Kepler-549 c,Kepler-549,117.040498,,2.93,5360.0,0.88,0.84,2016,Kepler,635.145,283.0228527,47.2611431,,
Kepler-302 c,Kepler-302,127.282184,,12.45,5740.0,,1.22,2014,Kepler,1402.58,294.3169307,43.6292436,,
Kepler-1729 b,Kepler-1729,4.220970154,,3.89404186,3837.0,0.544,0.517,2021,Kepler,576.181,296.6939428,42.6261145,,
Kepler-42 b,Kepler-42,1.2137672,,0.78,3068.0,0.13,0.17,2011,Kepler,40.0595,292.2196,44.6173667,519.0,
Kepler-1050 b,Kepler-1050,15.3787546,,1.6,6010.0,1.09,1.13,2016,Kepler,490.488,282.9249847,48.6264015,,
Kepler-1166 b,Kepler-1166,33.2406882,,1.69,5446.0,0.9,0.86,2016,Kepler,634.906,290.3484956,50.9028387,,
Kepler-976 b,Kepler-976,105.9564148,,3.96,5232.0,0.87,0.83,2016,Kepler,1012.41,289.8696232,46.7296855,,
WASP-20 b,WASP-20,4.8996284,98.841,16.388,5940.0,1.2,1.392,2015,SuperWASP,211.877,5.1605621,-23.9357894,1379.0,0.132
Kepler-157 c,Kepler-157,13.5405,,2.24,5774.0,,1.044,2014,Kepler,773.713,291.0972257,38.8756049,,
HATS-52 b,HATS-52,1.36665436,711.9392,15.490838,6010.0,1.111,1.046,2017,HATSouth,555.134,140.0875894,-31.2692116,1834.0,1.06
Kepler-844 b,Kepler-844,2.613020856,,1.68,4128.0,0.59,0.57,2016,Kepler,431.776,287.8578541,48.7739646,,
Kepler-131 b,Kepler-131,16.092,16.13,2.41,5685.0,1.02,1.03,2014,Kepler,228.678,288.5308924,40.942373,,6.0
Kepler-271 c,Kepler-271,7.41086267,,0.95,5555.0,0.9,0.87,2014,Kepler,404.542,283.0029316,44.284108,,
HR 858 d,HR 858,11.230511,7.1,2.001,6354.0,1.204,1.258,2019,Transiting Exoplanet Survey Satellite (TESS),31.964,42.9849779,-30.8140609,1061.0,4.9
Kepler-728 b,Kepler-728,5.743477265,,3.34,5660.0,0.95,0.93,2016,Kepler,1765.23,291.0923621,45.1155087,,
TIC 139270665 b,TIC 139270665,23.624,147.15455244,7.22979255,5844.0,1.035,1.016,2024,Transiting Exoplanet Survey Satellite (TESS),189.875,124.0338967,33.2914532,703.0,2.13
Kepler-1165 c,Kepler-1165,29.96870041,,3.36093385,6249.0,1.13,1.076,2021,Kepler,1575.2,286.9712284,44.7082669,,
TOI-2202 b,TOI-2202,11.9126075,287.31687993,10.95117414,5169.0,0.841,0.808,2021,Transiting Exoplanet Survey Satellite (TESS),235.933,51.2284214,-73.9575458,,
TOI-4087 b,TOI-4087,3.1774835,232.01473711,13.04725353,6060.0,1.178,1.112,2023,Transiting Exoplanet Survey Satellite (TESS),301.676,217.9257785,83.3727061,1458.0,0.57
Kepler-1513 b,Kepler-1513,160.8842,48.30991786,8.594,5491.0,0.943,0.95,2016,Kepler,349.247,289.7917561,39.2852655,,1.304
Kepler-323 c,Kepler-323,3.5538229,6.8,1.57,6004.0,1.015,1.12,2014,Kepler,454.883,291.3822988,38.1274595,1431.0,9.6
WASP-2 b,WASP-2,2.152175,295.89973,12.116929,5180.0,0.895,0.866,2007,SuperWASP,153.242,307.7255587,6.4293305,1311.0,0.914
Kepler-1235 b,Kepler-1235,4.16055856,,0.79,5541.0,0.93,0.9,2016,Kepler,540.604,284.9030677,43.9540616,,
Kepler-519 b,Kepler-519,24.3078946,,2.1,5260.0,0.89,0.8,2016,Kepler,246.61,299.3196708,41.3847447,,
K2-318 b,K2-318,7.01,,1.66,3851.0,0.561,0.552,2020,K2,147.866,232.4461375,-17.557463,456.0,
Kepler-237 b,Kepler-237,4.715106,,1.41,4861.0,,0.725,2014,Kepler,657.822,283.2213438,40.421762,,
Kepler-200 c,Kepler-200,10.222157,,1.59,5678.0,,0.944,2014,Kepler,665.912,284.4099503,41.2374928,,
K2-237 b,K2-237,2.18053332,434.15360396,16.06246934,6180.0,1.256,1.236,2018,K2,314.995,253.7688479,-28.7105836,1759.0,0.577
Kepler-580 b,Kepler-580,8.222419656,,2.57,4298.0,0.67,0.64,2016,Kepler,323.899,283.4997537,40.5528053,,
Kepler-777 b,Kepler-777,5.72812599,,1.47,4043.0,0.58,0.56,2016,Kepler,443.106,282.7241098,44.3465098,,
Kepler-1211 b,Kepler-1211,11.01816836,,2.55,5705.0,0.96,0.94,2016,Kepler,1826.53,285.7207618,40.8569116,,
KELT-20 b,KELT-20,3.4741085,1074.90106,19.514869,8720.0,1.76,1.565,2017,KELT-North,136.426,294.6614126,31.2192001,2262.0,0.806
Kepler-337 c,Kepler-337,9.693201,,2.05,5684.0,,1.761,2014,Kepler,677.975,290.0605123,47.1639533,,
Kepler-1714 b,Kepler-1714,10.27530003,,3.26437302,6150.0,1.448,2.086,2021,Kepler,409.46,293.7164655,46.2266878,,
TOI-2498 b,TOI-2498,3.738252,34.62,6.06,5905.0,1.12,1.26,2023,Transiting Exoplanet Survey Satellite (TESS),275.265,95.4162204,11.2516477,1443.0,0.86
Kepler-928 b,Kepler-928,3.932461302,,1.59,4700.0,0.73,0.7,2016,Kepler,508.809,289.920676,41.5427758,,
TOI-4329 b,TOI-4329,2.9223,143.02278315,16.81347105,6000.0,1.538,2.31,2022,Transiting Exoplanet Survey Satellite (TESS),717.128,329.5639152,71.1316048,,
Kepler-784 c,Kepler-784,17.157236,,1.55,5676.0,1.016,1.487,2023,Kepler,1303.72,295.9206663,47.4486164,844.0,
WASP-197 b,WASP-197,5.167228,403.32424848,14.44837612,6050.0,1.36,2.112,2025,SuperWASP,483.675,160.6307133,28.1986255,1665.0,0.74
Kepler-1279 b,Kepler-1279,23.4774101,,1.75,6221.0,1.21,1.33,2016,Kepler,1494.22,288.0955917,40.365909,,
HD 149026 b,HD 149026,2.87589,120.7754,8.29466,6179.0,1.42,1.41,2005,Subaru Telescope,75.8643,247.6229827,38.3475349,,
Kepler-1438 b,Kepler-1438,2.31942009,,0.94,5530.0,0.97,0.96,2016,Kepler,1154.13,289.289819,40.6816262,,
Kepler-257 c,Kepler-257,6.581484,,5.41,5180.0,,1.037,2014,Kepler,780.256,297.3159994,46.0232642,,
WASP-187 b,WASP-187,5.147878,254.264,18.38276,6150.0,1.54,2.83,2020,SuperWASP,371.414,17.47474,25.6816494,,0.224
Kepler-1102 b,Kepler-1102,51.3285623,,2.66,5724.0,0.96,0.94,2016,Kepler,1246.05,281.3225917,48.0664955,,
WASP-89 b,WASP-89,3.3564227,1875.197,11.65736,5130.0,0.92,0.88,2015,SuperWASP,290.946,313.9000261,-18.9714084,1120.0,7.0
Kepler-720 b,Kepler-720,4.708326542,,8.41,5618.0,0.95,0.92,2016,Kepler,1065.37,298.6356478,44.1709388,,
WASP-70 A b,WASP-70 A,3.7130203,187.512,13.047,5763.0,1.106,1.215,2014,SuperWASP,222.355,315.4771912,-13.4333821,1387.0,0.499
HATS-10 b,HATS-10,3.312846,167.17858,10.861521,5880.0,1.101,1.105,2015,HATSouth,534.889,294.3068385,-22.2044872,1407.0,0.7
HATS-8 b,HATS-8,3.583893,43.86054,9.785457,5679.0,1.056,1.086,2015,HATSouth,794.637,294.9416887,-25.7483655,1324.0,0.259
Kepler-1517 b,Kepler-1517,5.546083665,,9.76,7010.0,1.58,1.95,2016,Kepler,847.299,287.8072115,43.1888008,,
HATS-15 b,HATS-15,1.74748753,689.6911,12.385945,5311.0,0.871,0.922,2016,HATSouth,1139.55,311.0920041,-19.4375266,1505.0,1.97
HATS-50 b,HATS-50,3.8297015,123.9537,12.66617,5990.0,1.168,1.117,2017,HATSouth,756.742,300.4280761,-26.077564,,0.33
K2-39 b,K2-39,4.60543,28.6047,6.27704,4881.0,0.66,2.97,2016,K2,307.47,338.3682095,-9.0229405,,
WASP-67 b,WASP-67,4.61442,136.6669,12.89035,5200.0,0.91,0.88,2012,SuperWASP,189.469,295.7438485,-19.9497314,,
WASP-68 b,WASP-68,5.0843,343.2564,14.79588,5910.0,1.49,1.79,2014,SuperWASP,226.399,305.0957239,-19.3147271,,
HATS-36 b,HATS-36,4.175186,,12.92,5950.0,1.1,1.1,2018,HATSouth,856.436,291.4787013,-23.2028183,1203.0,
HATS-9 b,HATS-9,1.915291,,13.85,5599.0,1.1,1.56,2015,HATSouth,638.7,290.8101704,-20.1663771,1746.0,
HATS-11 b,HATS-11,3.619188,,18.03,6563.0,1.33,1.54,2016,HATSouth,944.603,289.4007603,-22.3900092,1596.0,
HATS-12 b,HATS-12,3.142702,,7.76,6357.0,1.16,1.17,2016,HATSouth,746.138,289.202402,-19.3559227,1446.0,
HATS-62 b,HATS-62,3.2768837,56.89157,11.825495,5416.0,0.896,0.933,2018,HATSouth,523.067,312.4493079,-24.303506,1237.0,0.076
HATS-65 b,HATS-65,3.105161,260.93843,16.824709,6277.0,1.257,1.31,2018,HATSouth,493.32,292.9397825,-26.7402021,1634.0,0.3
NGTS-8 b,NGTS-8,2.4997,295.5819,12.21781,5241.0,0.89,0.98,2019,Next-Generation Transit Survey (NGTS),428.976,328.9759206,-14.0684399,1345.0,0.89
K2-329 b,K2-329,12.4551225,82.6358,8.675766,5282.0,0.901,0.822,2020,K2,233.237,351.1353785,-5.1641451,650.0,0.694
TOI-178 b,TOI-178,1.914558,1.5,1.152,4316.0,0.65,0.651,2021,Transiting Exoplanet Survey Satellite (TESS),62.699,7.3020115,-30.4541159,1040.0,5.4
TOI-178 c,TOI-178,3.23845,4.77,1.669,4316.0,0.65,0.651,2021,Transiting Exoplanet Survey Satellite (TESS),62.699,7.3020115,-30.4541159,873.0,5.62
TOI-178 d,TOI-178,6.5577,3.01,2.572,4316.0,0.65,0.651,2021,Transiting Exoplanet Survey Satellite (TESS),62.699,7.3020115,-30.4541159,690.0,0.976
TOI-178 e,TOI-178,9.961881,3.86,2.207,4316.0,0.65,0.651,2021,Transiting Exoplanet Survey Satellite (TESS),62.699,7.3020115,-30.4541159,600.0,1.98
TOI-178 f,TOI-178,15.231915,7.72,2.287,4316.0,0.65,0.651,2021,Multiple Observatories,62.699,7.3020115,-30.4541159,521.0,3.6
TOI-178 g,TOI-178,20.7095,3.94,2.87,4316.0,0.65,0.651,2021,Transiting Exoplanet Survey Satellite (TESS),62.699,7.3020115,-30.4541159,470.0,0.915
NGTS-14 A b,NGTS-14 A,3.5357173,29.24036,4.976796,5187.0,0.898,0.842,2021,Next-Generation Transit Survey (NGTS),322.148,328.5174799,-38.3774193,1143.0,1.395
K2-268 c,K2-268,9.327527,,2.69,5106.0,0.84,0.78,2018,K2,327.783,133.7094899,11.8482712,696.0,
Kepler-988 b,Kepler-988,17.76080053,,2.07,4005.0,0.55,0.53,2016,Kepler,304.889,290.7082585,42.2372245,,
Kepler-546 b,Kepler-546,4.147020258,,7.0,5967.0,1.11,1.15,2016,Kepler,1019.65,283.257573,40.9904095,,
Kepler-722 b,Kepler-722,4.093573252,,2.63,5863.0,1.03,1.05,2016,Kepler,1239.5,290.2632874,44.5564051,,
WASP-170 b,WASP-170,2.34478022,508.528,12.285064,5600.0,0.93,0.938,2018,SuperWASP-South,305.603,135.4163028,-20.7203686,1422.0,1.6
K2-198 c,K2-198,3.3596055,,1.423,5212.9,0.799,0.757,2019,K2,110.567,198.8436817,-6.4649888,1229.9,
Kepler-1933 b,Kepler-1933,4.943290234,,1.17984089,5661.0,0.964,1.008,2021,Kepler,328.007,283.995085,39.9170121,,
Kepler-1913 b,Kepler-1913,14.1960001,,1.51852059,6214.0,1.169,1.076,2021,Kepler,876.3,290.216689,44.7795863,,
WASP-37 b,WASP-37,3.577469,572.07,13.002,5800.0,0.925,1.003,2010,SuperWASP,392.791,221.9438866,1.0650227,,1.53
Kepler-335 c,Kepler-335,67.844469,,3.07,5877.0,,1.854,2014,Kepler,1278.97,296.0642944,45.4285986,,
K2-273 b,K2-273,11.7195663,,3.05,5161.0,0.89,0.85,2018,K2,308.105,129.7768928,19.0100046,849.0,
Kepler-44 b,Kepler-44,3.2467293,317.82,12.22,5800.0,1.12,1.35,2011,Kepler,1188.0,300.1023512,45.7621918,1544.0,0.93
Kepler-915 b,Kepler-915,4.59489604,,1.5,6173.0,1.21,1.38,2016,Kepler,849.036,290.5921293,45.7372184,,
Kepler-1912 b,Kepler-1912,6.059219837,,1.35670508,5734.0,0.977,0.962,2021,Kepler,297.017,282.1178211,46.2239547,,
Kepler-303 b,Kepler-303,1.937055,,0.89,3944.0,,0.485,2014,Kepler,209.738,283.1354742,43.6567036,,
Kepler-186 b,Kepler-186,3.8867907,,1.07,3788.0,0.478,0.472,2014,Kepler,177.594,298.652736,43.9549884,,
Kepler-186 e,Kepler-186,22.407704,,1.27,3788.0,0.478,0.472,2014,Kepler,177.594,298.652736,43.9549884,,
Kepler-186 d,Kepler-186,13.342996,,1.4,3788.0,0.478,0.472,2014,Kepler,177.594,298.652736,43.9549884,,
Kepler-289 d,Kepler-289,66.0282,5.33,3.03,5990.0,1.08,1.0,2014,Kepler,704.438,297.4653351,42.8828517,,1.14
Kepler-206 d,Kepler-206,23.44281,,1.19,5764.0,,1.185,2014,Kepler,594.447,291.6346564,41.8338415,,
Kepler-1860 b,Kepler-1860,12.73719978,,1.13863767,5420.0,0.874,0.868,2021,Kepler,438.703,294.3508497,50.0809627,,
TOI-4914 b,TOI-4914,10.60057,227.0,12.87,5805.0,1.03,1.0,2024,Transiting Exoplanet Survey Satellite (TESS),299.89,204.5426717,-28.1429206,894.0,0.59
Kepler-45 b,Kepler-45,2.455239,160.497,10.76,3820.0,0.59,0.55,2011,Kepler,381.949,292.8729292,41.0641727,1000.0,0.8
Kepler-235 d,Kepler-235,20.060548,,2.05,4255.0,,0.554,2014,Kepler,428.018,286.0790779,39.278237,,
Kepler-249 b,Kepler-249,3.306539,,1.09,3568.0,,0.482,2014,Kepler,190.401,296.9853002,43.6586043,,
Kepler-235 e,Kepler-235,46.183669,,2.22,4255.0,,0.554,2014,Kepler,428.018,286.0790779,39.278237,,
Kepler-249 d,Kepler-249,15.368459,,1.57,3568.0,,0.482,2014,Kepler,190.401,296.9853002,43.6586043,,
Kepler-327 b,Kepler-327,2.549575,,1.11,3799.0,,0.492,2014,Kepler,241.987,292.6422963,44.0876251,,
Kepler-395 c,Kepler-395,34.989262,,1.32,4262.0,,0.556,2014,Kepler,421.382,293.5111889,45.1366252,,
Kepler-236 b,Kepler-236,8.295611,,1.57,3750.0,,0.51,2014,Kepler,288.763,283.8664285,39.8981928,,
Kepler-395 b,Kepler-395,7.054346,,1.03,4262.0,,0.556,2014,Kepler,421.382,293.5111889,45.1366252,,
Kepler-353 c,Kepler-353,8.410894,,1.38,3903.0,,0.504,2014,Kepler,384.694,296.8565596,41.7580749,,
Kepler-267 c,Kepler-267,6.87745,,2.13,4258.0,,0.555,2014,Kepler,264.993,299.8305655,47.1575741,,
Kepler-267 d,Kepler-267,28.464515,,2.27,4258.0,,0.555,2014,Kepler,264.993,299.8305655,47.1575741,,
Kepler-125 b,Kepler-125,4.164389,,2.37,3810.0,,0.512,2014,Kepler,183.365,298.2581101,47.6050031,,
Kepler-327 c,Kepler-327,5.212333,,1.03,3799.0,,0.492,2014,Kepler,241.987,292.6422963,44.0876251,,
Kepler-235 b,Kepler-235,3.340222,,2.23,4255.0,,0.554,2014,Kepler,428.018,286.0790779,39.278237,,
Kepler-236 c,Kepler-236,23.968127,,2.0,3750.0,,0.51,2014,Kepler,288.763,283.8664285,39.8981928,,
Kepler-249 c,Kepler-249,7.113702,,1.51,3568.0,,0.482,2014,Kepler,190.401,296.9853002,43.6586043,,
Kepler-205 c,Kepler-205,20.306546,,1.64,4321.0,,0.546,2014,Kepler,159.72,285.2866912,41.8609357,,
TOI-1898 b,TOI-1898,45.52234,129.0,9.39553231,6241.0,1.2484,1.6131,2024,Transiting Exoplanet Survey Satellite (TESS),79.6682,144.5553,23.5467464,674.54,0.85
Kepler-828 b,Kepler-828,0.567857136,,1.51,5039.0,0.81,0.77,2016,Kepler,575.322,286.8872555,42.4712271,,
TOI-561 c,TOI-561,10.778838,5.93,2.865,,0.806,0.843,2020,Transiting Exoplanet Survey Satellite (TESS),85.799,148.1851516,6.216103,802.0,1.3
K2-266 c,K2-266,7.814,0.29013072,0.705,4285.0,0.686,0.703,2018,K2,77.5586,157.9356855,0.9372782,664.5,
TOI-1749 b,TOI-1749,2.38839,57.0,1.39,3985.0,0.58,0.55,2021,Transiting Exoplanet Survey Satellite (TESS),99.5561,282.7372281,64.419466,831.0,
Kepler-406 b,Kepler-406,2.42629,6.35,1.43,5538.0,1.07,1.07,2014,Kepler,364.03,291.8481764,44.9682807,,11.82
Kepler-1422 b,Kepler-1422,18.6051942,,2.02,6194.0,1.15,1.23,2016,Kepler,2465.84,293.8902214,48.3360926,,
Kepler-1022 b,Kepler-1022,10.99469878,,2.36,4445.0,0.71,0.68,2016,Kepler,420.042,289.3520595,46.9736345,,
Kepler-1190 b,Kepler-1190,10.45843441,,1.33,4730.0,0.76,0.72,2016,Kepler,342.509,284.9996582,49.4799506,,
HATS-54 b,HATS-54,2.5441765,239.32479047,11.37711541,5621.0,1.05,1.23,2019,HATSouth,748.585,200.6348641,-44.6888393,1429.0,
K2-72 c,K2-72,15.189034,,1.16,3360.47,0.271365,0.330989,2016,K2,66.4321,334.6227504,-9.6120084,,
Kepler-529 b,Kepler-529,1.980357663,,1.86,6087.0,1.07,1.14,2016,Kepler,799.008,285.8884067,47.880364,,
Kepler-1061 b,Kepler-1061,2.757982666,,1.98,6067.0,1.09,1.07,2016,Kepler,543.375,296.2300306,50.2752091,,
K2-413 b,K2-413,0.8094,,0.7599,4116.0,0.808,0.7,2022,K2,285.162,353.4175668,-7.6120272,,
Kepler-1093 b,Kepler-1093,25.0824626,,1.95,6166.0,1.13,1.2,2016,Kepler,1072.88,284.9780251,41.4202077,,
Kepler-132 c,Kepler-132,6.414914,,1.28,6003.0,,1.178,2014,Kepler,349.549,283.23581,41.343037,,
K2-286 b,K2-286,27.359,,2.1,3926.0,0.64,0.62,2018,K2,76.1486,233.3698192,-16.7737113,347.0,
Kepler-138 c,Kepler-138,13.7815,2.3,1.51,3841.0,0.535,0.535,2014,Kepler,66.8624,290.3814122,43.2930645,410.0,3.6
TOI-5108 b,TOI-5108,6.753581,32.0,6.6,5808.0,1.1,1.29,2025,Transiting Exoplanet Survey Satellite (TESS),130.919,166.2695041,11.2464069,1180.0,0.6
Kepler-1307 b,Kepler-1307,18.01621096,,2.47,5884.0,1.06,1.08,2016,Kepler,1014.62,292.8698348,46.7418679,,
Kepler-676 b,Kepler-676,11.59822172,,3.04,3701.0,0.51,0.49,2016,Kepler,295.196,296.2220259,50.2873626,,
Kepler-787 b,Kepler-787,0.928310498,,1.28,4248.0,0.65,0.62,2016,Kepler,503.568,291.6924773,38.5729105,,
Kepler-1049 b,Kepler-1049,3.273460736,,0.95,3864.0,0.51,0.49,2016,Kepler,162.006,287.3469567,47.7729078,,
Kepler-898 b,Kepler-898,5.8706191,,1.49,4223.0,0.65,0.62,2016,Kepler,484.891,286.5854116,46.8708877,,
Kepler-1388 b,Kepler-1388,12.2854603,,2.59,4098.0,0.63,0.61,2016,Kepler,453.795,283.3360156,47.1744499,,
Kepler-1388 c,Kepler-1388,5.53608151,,2.26,4098.0,0.63,0.61,2016,Kepler,453.795,283.3360156,47.1744499,,
Kepler-1439 b,Kepler-1439,8.07392849,,1.46,3578.0,0.46,0.43,2016,Kepler,225.393,285.7396971,40.9798688,,
Kepler-1319 b,Kepler-1319,2.886762645,,1.34,3655.0,0.56,0.54,2016,Kepler,103.917,290.9564463,49.3667933,,
Kepler-49 d,Kepler-49,2.576549,,1.6,4252.0,,0.559,2014,Kepler,311.222,292.2945208,40.5918123,,
HD 135344 A b,HD 135344 A,,3178.28407,16.25302201,9540.0,,1.5,2025,Paranal Observatory,141.595,228.9538416,-37.1489176,1585.0,
K2-209 b,K2-209,2.080615,,0.86850263,4720.0,0.74479,0.712365,2018,K2,76.4986,14.6903464,1.382807,,
WASP-91 b,WASP-91,2.798581,425.8922,11.54527,4920.0,0.84,0.86,2017,SuperWASP-South,149.942,357.846434,-70.1528621,1160.0,1.59
Kepler-1398 b,Kepler-1398,2.78815679,,0.9,6126.0,1.13,1.18,2016,Kepler,852.204,294.8661073,48.6389923,,
Kepler-1694 b,Kepler-1694,3.89526,,1.17986031,4954.0,0.82,0.756284,2020,Kepler,513.329,293.7936339,40.241023,,
Kepler-603 b,Kepler-603,21.05358596,,2.65,5808.0,1.01,1.01,2016,Kepler,1539.63,294.2809679,42.2909295,,
Kepler-48 b,Kepler-48,4.778,3.94,1.88,5194.0,0.88,0.89,2012,Kepler,306.738,299.1393094,40.948939,,3.23
Kepler-28 b,Kepler-28,5.91,1.63,1.959,4499.3,0.684,0.664,2011,Kepler,438.359,292.1370409,42.4294835,,1.185427
Kepler-732 b,Kepler-732,9.467814048,,2.18,3631.0,0.49,0.46,2016,Kepler,174.826,283.7317274,45.9585288,,
Kepler-691 b,Kepler-691,8.114379,,2.09,3715.0,0.53,0.5,2016,Kepler,279.115,288.8117314,40.0332311,,
Kepler-834 b,Kepler-834,13.32388301,,2.02,4554.0,0.7,0.66,2016,Kepler,633.937,287.0544674,45.1803351,,
Kepler-833 b,Kepler-833,18.7546998,,2.02,4339.0,0.64,0.62,2016,Kepler,467.37,290.4799052,45.6005798,,
Kepler-732 c,Kepler-732,0.893041236,,1.27,3631.0,0.49,0.46,2016,Kepler,174.826,283.7317274,45.9585288,,
Kepler-953 c,Kepler-953,9.10967112,,1.19,5416.0,0.95,0.99,2016,Kepler,258.893,288.9716297,44.6246451,,
HD 224018 b,HD 224018,10.6413,4.1,0.91,5784.0,1.013,1.147,2025,Roque de los Muchachos Observatory,105.48,358.6390056,-4.7233362,968.0,17.1
Kepler-127 c,Kepler-127,29.393195,,2.66,6106.0,,1.359,2014,Kepler,352.794,285.1899439,46.0280596,,
Kepler-478 b,Kepler-478,13.2217576,,2.71,5210.0,0.85,0.8,2016,Kepler,,292.4870063,46.196187,,
Kepler-57 b,Kepler-57,5.72,25.06,3.135,5187.9,0.859,0.826,2012,Kepler,644.14,293.6413146,44.6570692,,4.466029
Kepler-238 b,Kepler-238,2.090876,,1.73,5751.0,,1.43,2014,Kepler,1798.75,287.8971066,40.6378141,,
Kepler-975 b,Kepler-975,1.970342457,,1.48,4897.0,0.8,0.75,2016,Kepler,426.088,290.54851,38.4952415,,
Kepler-1142 b,Kepler-1142,18.3027248,,1.47,5685.0,0.97,0.96,2016,Kepler,1273.51,292.7144796,44.0822816,,
EPIC 249893012 b,EPIC 249893012,3.5951,8.75,1.95,5430.0,1.05,1.71,2020,K2,321.296,228.2482353,-16.7246474,1616.0,6.39
HATS-51 b,HATS-51,3.3488702,244.09344,15.80469,5758.0,1.187,1.44,2017,HATSouth,389.57,102.8474248,-29.0586551,1553.0,0.34
Kepler-56 c,Kepler-56,21.40239,181.0,9.8,4840.0,1.32,4.23,2012,Kepler,912.994,293.7583002,41.871807,,1.06
Kepler-279 c,Kepler-279,35.736,49.4,4.3,,1.1,1.07,2013,Kepler,1037.4,287.391295,42.194822,,
TOI-201 b,TOI-201,52.977946,184.34047606,11.82547464,,1.316,1.339,2021,Transiting Exoplanet Survey Satellite (TESS),113.825,87.4017825,-54.910423,,0.654
Kepler-221 c,Kepler-221,5.690586,,2.93,5243.0,,0.821,2014,Kepler,385.231,296.6547477,46.8352242,,
Kepler-905 b,Kepler-905,5.082746517,,1.41,5461.0,0.95,0.86,2016,Kepler,529.268,290.0511468,46.7134077,,
Kepler-1101 b,Kepler-1101,81.3151059,,2.47,5614.0,0.94,0.91,2016,Kepler,742.473,294.5693544,45.6711623,,
Kepler-514 b,Kepler-514,5.65179605,,1.72,6106.0,1.28,1.44,2016,Kepler,455.336,286.2471739,50.2423694,,
Kepler-33 c,Kepler-33,13.17562,,3.2,5904.0,1.291,1.82,2011,Kepler,1209.16,289.0775348,46.0051696,,
HD 235088 b,HD 235088,7.4341325,4.15,1.982,5075.0,0.849,0.772,2023,Transiting Exoplanet Survey Satellite (TESS),41.1706,300.6154535,53.3774418,,2.922216
Kepler-1636 b,Kepler-1636,425.47785,,3.23,5797.0,1.01,1.02,2016,Kepler,1947.54,294.0575681,46.4409844,,
Kepler-1127 b,Kepler-1127,5.12330347,,1.96,5664.0,0.97,0.95,2016,Kepler,842.459,293.2173563,42.7205846,,
K2-68 b,K2-68,8.05428,,1.58,4746.0,0.73,0.675,2016,K2,168.652,334.0195539,-10.5673649,,
Kepler-238 d,Kepler-238,13.233549,,3.07,5751.0,,1.43,2014,Kepler,1798.75,287.8971066,40.6378141,,
Kepler-1921 c,Kepler-1921,3.15722086,,1.41,6120.0,1.251,2.0,2023,Kepler,928.989,300.3161723,45.4953271,1791.0,
Kepler-122 d,Kepler-122,21.587475,,2.2,6050.0,,1.216,2014,Kepler,1027.45,291.1118647,39.9490248,,
K2-22 b,K2-22,0.381073,,2.3,3879.0,,0.58,2015,K2,243.836,169.4827046,2.6190363,,
KOI-94 b,KOI-94,3.743208,10.5,1.71,6182.0,1.277,1.52,2013,Kepler,477.052,297.3330716,41.8911186,1486.0,10.1
TOI-2669 b,TOI-2669,6.2034,193.87532827,19.72780603,4800.0,1.19,4.1,2022,Transiting Exoplanet Survey Satellite (TESS),393.443,134.7226445,-13.3125792,,
Kepler-130 d,Kepler-130,87.517905,,1.64,5884.0,,1.127,2014,Kepler,316.663,288.4505905,40.2452006,,
Kepler-1358 b,Kepler-1358,7.06317341,,1.12,5181.0,0.82,0.79,2016,Kepler,546.998,286.1705469,43.0089,,
Kepler-279 d,Kepler-279,54.414,37.5,3.1,,1.1,1.07,2013,Kepler,1037.4,287.391295,42.194822,,
Kepler-319 c,Kepler-319,6.941357,,2.63,5526.0,,0.903,2014,Kepler,503.436,288.8119782,39.7706431,,
Kepler-414 c,Kepler-414,7.171,29.9,3.01,,0.89,0.946,2014,Kepler,413.46,297.9615616,48.2443363,,
Kepler-58 b,Kepler-58,10.2184954,35.5,2.78,5843.0,0.95,1.03,2012,Kepler,969.252,296.3586251,39.1152033,,
